Average entropy for each pages posts controlling for date:
            name            | gender |          avg           
 Susan Collins              | F      | 0.97329131096666318119
 David Weikle               | M      | 0.97867200041889718914
 Shannon Bray               | M      | 0.98114826335144594118
 Alisha Shelton             | F      | 0.98303369924435501786
 Richard Ojeda              | M      | 0.99202202160581587190
 Gary Peters                | M      |    1.00731394408365043
 Gavin Clarkson             | M      |    1.01378709625132589
 Wilmot Collins             | M      |    1.01860672730587971
 John Hickenlooper          | M      |    1.02245296162520847
 Sema Hernandez             | F      |    1.03610179728077332
 Jeff Merkley               | M      |    1.04381838243723173
 Eddie Mauro                | M      |    1.05299643000455183
 Cory Booker                | M      |    1.05480112589398904
 Nancy Harris               | F      |    1.05743003527969919
 Chris Coons                | M      |    1.05809954032898413
 Ben Ray Luján              | M      |    1.05831111641950462
 Lindsey Graham             | M      |     1.0802327156791359
 Bre Kidman                 | F      |     1.0856099980314276
 John Cornyn                | M      |    1.08648321823625754
 Erik Underwood             | M      | 1.11493148834508737500
 Dick Durbin                | M      |    1.14058801647234738
 Mitch McConnell            | M      |     1.3625390398794314
 Craig Brittain             | M      |     1.3735105899111480
 Victor Hugo Harris         | M      |     1.3884853831298046
 Mike Workman               | M      | 1.51358559421210930000
 Maya Dillard Smith         | F      | 1.58275817503868800000
(159 rows)

